yourlist:M20190428216DA2B77BFBD2E6699CA9B6D1C41EB20A1B1A1	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
O60306	O60306	AQR_HUMAN	reviewed	RNA helicase aquarius (EC 3.6.4.13) (Intron-binding protein of 160 kDa) (IBP160)	AQR KIAA0560	Homo sapiens (Human)	1485
O60313	O60313	OPA1_HUMAN	reviewed	Dynamin-like 120 kDa protein, mitochondrial (EC 3.6.5.5) (Optic atrophy protein 1) [Cleaved into: Dynamin-like 120 kDa protein, form S1]	OPA1 KIAA0567	Homo sapiens (Human)	960
O60437	O60437	PEPL_HUMAN	reviewed	Periplakin (190 kDa paraneoplastic pemphigus antigen) (195 kDa cornified envelope precursor protein)	PPL KIAA0568	Homo sapiens (Human)	1756
O60504	O60504	VINEX_HUMAN	reviewed	Vinexin (SH3-containing adapter molecule 1) (SCAM-1) (Sorbin and SH3 domain-containing protein 3)	SORBS3 SCAM1	Homo sapiens (Human)	671
O60506	O60506	HNRPQ_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein Q (hnRNP Q) (Glycine- and tyrosine-rich RNA-binding protein) (GRY-RBP) (NS1-associated protein 1) (Synaptotagmin-binding, cytoplasmic RNA-interacting protein)	SYNCRIP HNRPQ NSAP1	Homo sapiens (Human)	623
O60508	O60508	PRP17_HUMAN	reviewed	Pre-mRNA-processing factor 17 (Cell division cycle 40 homolog) (EH-binding protein 3) (Ehb3) (PRP17 homolog) (hPRP17)	CDC40 EHB3 PRP17 PRPF17	Homo sapiens (Human)	579
O60513	O60513	B4GT4_HUMAN	reviewed	Beta-1,4-galactosyltransferase 4 (Beta-1,4-GalTase 4) (Beta4Gal-T4) (b4Gal-T4) (EC 2.4.1.-) (Beta-N-acetylglucosaminyl-glycolipid beta-1,4-galactosyltransferase) (Lactotriaosylceramide beta-1,4-galactosyltransferase) (EC 2.4.1.275) (N-acetyllactosamine synthase) (EC 2.4.1.90) (Nal synthase) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 4) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 4)	B4GALT4 UNQ552/PRO1109	Homo sapiens (Human)	344
O60547	O60547	GMDS_HUMAN	reviewed	GDP-mannose 4,6 dehydratase (EC 4.2.1.47) (GDP-D-mannose dehydratase) (GMD)	GMDS	Homo sapiens (Human)	372
O60568	O60568	PLOD3_HUMAN	reviewed	Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3 [Includes: Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3 (EC 1.14.11.4) (Lysyl hydroxylase 3) (LH3); Procollagen glycosyltransferase (EC 2.4.1.50) (EC 2.4.1.66) (Galactosylhydroxylysine-glucosyltransferase) (Procollagen galactosyltransferase) (Procollagen glucosyltransferase)]	PLOD3	Homo sapiens (Human)	738
O60610	O60610	DIAP1_HUMAN	reviewed	Protein diaphanous homolog 1 (Diaphanous-related formin-1) (DRF1)	DIAPH1 DIAP1	Homo sapiens (Human)	1272
O60664	O60664	PLIN3_HUMAN	reviewed	Perilipin-3 (47 kDa mannose 6-phosphate receptor-binding protein) (47 kDa MPR-binding protein) (Cargo selection protein TIP47) (Mannose-6-phosphate receptor-binding protein 1) (Placental protein 17) (PP17)	PLIN3 M6PRBP1 TIP47	Homo sapiens (Human)	434
O60687	O60687	SRPX2_HUMAN	reviewed	Sushi repeat-containing protein SRPX2 (Sushi-repeat protein upregulated in leukemia)	SRPX2 SRPUL	Homo sapiens (Human)	465
O60701	O60701	UGDH_HUMAN	reviewed	UDP-glucose 6-dehydrogenase (UDP-Glc dehydrogenase) (UDP-GlcDH) (UDPGDH) (EC 1.1.1.22)	UGDH	Homo sapiens (Human)	494
O60716	O60716	CTND1_HUMAN	reviewed	Catenin delta-1 (Cadherin-associated Src substrate) (CAS) (p120 catenin) (p120(ctn)) (p120(cas))	CTNND1 KIAA0384	Homo sapiens (Human)	968
O60762	O60762	DPM1_HUMAN	reviewed	Dolichol-phosphate mannosyltransferase subunit 1 (EC 2.4.1.83) (Dolichol-phosphate mannose synthase subunit 1) (DPM synthase subunit 1) (Dolichyl-phosphate beta-D-mannosyltransferase subunit 1) (Mannose-P-dolichol synthase subunit 1) (MPD synthase subunit 1)	DPM1	Homo sapiens (Human)	260
O60763	O60763	USO1_HUMAN	reviewed	General vesicular transport factor p115 (Protein USO1 homolog) (Transcytosis-associated protein) (TAP) (Vesicle-docking protein)	USO1 VDP	Homo sapiens (Human)	962
O60784	O60784	TOM1_HUMAN	reviewed	Target of Myb protein 1	TOM1	Homo sapiens (Human)	492
Q99880	Q99880	H2B1L_HUMAN	reviewed	Histone H2B type 1-L (Histone H2B.c) (H2B/c)	HIST1H2BL H2BFC	Homo sapiens (Human)	126
O60832	O60832	DKC1_HUMAN	reviewed	H/ACA ribonucleoprotein complex subunit DKC1 (EC 5.4.99.-) (CBF5 homolog) (Dyskerin) (Nopp140-associated protein of 57 kDa) (Nucleolar protein NAP57) (Nucleolar protein family A member 4) (snoRNP protein DKC1)	DKC1 NOLA4	Homo sapiens (Human)	514
O60844	O60844	ZG16_HUMAN	reviewed	Zymogen granule membrane protein 16 (Zymogen granule protein 16) (hZG16) (Secretory lectin ZG16)	ZG16	Homo sapiens (Human)	167
O60884	O60884	DNJA2_HUMAN	reviewed	DnaJ homolog subfamily A member 2 (Cell cycle progression restoration gene 3 protein) (Dnj3) (Dj3) (HIRA-interacting protein 4) (Renal carcinoma antigen NY-REN-14)	DNAJA2 CPR3 HIRIP4	Homo sapiens (Human)	412
O60885	O60885	BRD4_HUMAN	reviewed	Bromodomain-containing protein 4 (Protein HUNK1)	BRD4 HUNK1	Homo sapiens (Human)	1362
O75030	O75030	MITF_HUMAN	reviewed	Microphthalmia-associated transcription factor (Class E basic helix-loop-helix protein 32) (bHLHe32)	MITF BHLHE32	Homo sapiens (Human)	526
O75038	O75038	PLCH2_HUMAN	reviewed	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2 (EC 3.1.4.11) (Phosphoinositide phospholipase C-eta-2) (Phosphoinositide phospholipase C-like 4) (PLC-L4) (Phospholipase C-like protein 4) (Phospholipase C-eta-2) (PLC-eta2)	PLCH2 KIAA0450 PLCL4	Homo sapiens (Human)	1416
O75052	O75052	CAPON_HUMAN	reviewed	Carboxyl-terminal PDZ ligand of neuronal nitric oxide synthase protein (C-terminal PDZ ligand of neuronal nitric oxide synthase protein) (Nitric oxide synthase 1 adaptor protein)	NOS1AP CAPON KIAA0464	Homo sapiens (Human)	506
O75071	O75071	EFC14_HUMAN	reviewed	EF-hand calcium-binding domain-containing protein 14	EFCAB14 KIAA0494	Homo sapiens (Human)	495
O75083	O75083	WDR1_HUMAN	reviewed	WD repeat-containing protein 1 (Actin-interacting protein 1) (AIP1) (NORI-1)	WDR1	Homo sapiens (Human)	606
O75127	O75127	PTCD1_HUMAN	reviewed	Pentatricopeptide repeat-containing protein 1, mitochondrial	PTCD1 KIAA0632	Homo sapiens (Human)	700
O75131	O75131	CPNE3_HUMAN	reviewed	Copine-3 (Copine III)	CPNE3 CPN3 KIAA0636	Homo sapiens (Human)	537
O75146	O75146	HIP1R_HUMAN	reviewed	Huntingtin-interacting protein 1-related protein (HIP1-related protein) (Huntingtin-interacting protein 12) (HIP-12)	HIP1R HIP12 KIAA0655	Homo sapiens (Human)	1068
O75147	O75147	OBSL1_HUMAN	reviewed	Obscurin-like protein 1	OBSL1 KIAA0657	Homo sapiens (Human)	1896
O75152	O75152	ZC11A_HUMAN	reviewed	Zinc finger CCCH domain-containing protein 11A	ZC3H11A KIAA0663 ZC3HDC11A	Homo sapiens (Human)	810
O75170	O75170	PP6R2_HUMAN	reviewed	Serine/threonine-protein phosphatase 6 regulatory subunit 2 (SAPS domain family member 2)	PPP6R2 KIAA0685 PP6R2 SAPS2	Homo sapiens (Human)	966
O75190	O75190	DNJB6_HUMAN	reviewed	DnaJ homolog subfamily B member 6 (HHDJ1) (Heat shock protein J2) (HSJ-2) (MRJ) (MSJ-1)	DNAJB6 HSJ2 MRJ MSJ1	Homo sapiens (Human)	326
O75223	O75223	GGCT_HUMAN	reviewed	Gamma-glutamylcyclotransferase (EC 4.3.2.9) (Cytochrome c-releasing factor 21)	GGCT C7orf24 CRF21	Homo sapiens (Human)	188
O75340	O75340	PDCD6_HUMAN	reviewed	Programmed cell death protein 6 (Apoptosis-linked gene 2 protein homolog) (ALG-2)	PDCD6 ALG2	Homo sapiens (Human)	191
O75342	O75342	LX12B_HUMAN	reviewed	Arachidonate 12-lipoxygenase, 12R-type (12R-LOX) (12R-lipoxygenase) (EC 1.13.11.-) (Epidermis-type lipoxygenase 12)	ALOX12B	Homo sapiens (Human)	701
O95670	O95670	VATG2_HUMAN	reviewed	V-type proton ATPase subunit G 2 (V-ATPase subunit G 2) (V-ATPase 13 kDa subunit 2) (Vacuolar proton pump subunit G 2)	ATP6V1G2 ATP6G ATP6G2 NG38	Homo sapiens (Human)	118
O75367	O75367	H2AY_HUMAN	reviewed	Core histone macro-H2A.1 (Histone macroH2A1) (mH2A1) (Histone H2A.y) (H2A/y) (Medulloblastoma antigen MU-MB-50.205)	H2AFY MACROH2A1	Homo sapiens (Human)	372
O75369	O75369	FLNB_HUMAN	reviewed	Filamin-B (FLN-B) (ABP-278) (ABP-280 homolog) (Actin-binding-like protein) (Beta-filamin) (Filamin homolog 1) (Fh1) (Filamin-3) (Thyroid autoantigen) (Truncated actin-binding protein) (Truncated ABP)	FLNB FLN1L FLN3 TABP TAP	Homo sapiens (Human)	2602
O75390	O75390	CISY_HUMAN	reviewed	Citrate synthase, mitochondrial (EC 2.3.3.1) (Citrate (Si)-synthase)	CS	Homo sapiens (Human)	466
O75396	O75396	SC22B_HUMAN	reviewed	Vesicle-trafficking protein SEC22b (ER-Golgi SNARE of 24 kDa) (ERS-24) (ERS24) (SEC22 vesicle-trafficking protein homolog B) (SEC22 vesicle-trafficking protein-like 1)	SEC22B SEC22L1	Homo sapiens (Human)	215
O75400	O75400	PR40A_HUMAN	reviewed	Pre-mRNA-processing factor 40 homolog A (Fas ligand-associated factor 1) (Formin-binding protein 11) (Formin-binding protein 3) (Huntingtin yeast partner A) (Huntingtin-interacting protein 10) (HIP-10) (Huntingtin-interacting protein A) (Renal carcinoma antigen NY-REN-6)	PRPF40A FBP11 FLAF1 FNBP3 HIP10 HYPA HSPC225	Homo sapiens (Human)	957
O75420	O75420	GGYF1_HUMAN	reviewed	GRB10-interacting GYF protein 1 (PERQ amino acid-rich with GYF domain-containing protein 1)	GIGYF1 CDS2 PERQ1 PP3360	Homo sapiens (Human)	1035
O75436	O75436	VP26A_HUMAN	reviewed	Vacuolar protein sorting-associated protein 26A (Vesicle protein sorting 26A) (hVPS26)	VPS26A VPS26	Homo sapiens (Human)	327
O75452	O75452	RDH16_HUMAN	reviewed	Retinol dehydrogenase 16 (EC 1.1.1.105) (EC 1.1.1.209) (EC 1.1.1.315) (EC 1.1.1.53) (Human epidermal retinol dehydrogenase) (hRDH-E) (Microsomal NAD(+)-dependent retinol dehydrogenase 4) (RoDH-4) (Short chain dehydrogenase/reductase family 9C member 8) (Sterol/retinol dehydrogenase)	RDH16 RODH4 SDR9C8	Homo sapiens (Human)	317
O75477	O75477	ERLN1_HUMAN	reviewed	Erlin-1 (Endoplasmic reticulum lipid raft-associated protein 1) (Protein KE04) (Stomatin-prohibitin-flotillin-HflC/K domain-containing protein 1) (SPFH domain-containing protein 1)	ERLIN1 C10orf69 KE04 KEO4 SPFH1	Homo sapiens (Human)	346
O75494	O75494	SRS10_HUMAN	reviewed	Serine/arginine-rich splicing factor 10 (40 kDa SR-repressor protein) (SRrp40) (FUS-interacting serine-arginine-rich protein 1) (Splicing factor SRp38) (Splicing factor, arginine/serine-rich 13A) (TLS-associated protein with Ser-Arg repeats) (TASR) (TLS-associated protein with SR repeats) (TLS-associated serine-arginine protein) (TLS-associated SR protein)	SRSF10 FUSIP1 FUSIP2 SFRS13A TASR	Homo sapiens (Human)	262
O75531	O75531	BAF_HUMAN	reviewed	Barrier-to-autointegration factor (Breakpoint cluster region protein 1) [Cleaved into: Barrier-to-autointegration factor, N-terminally processed]	BANF1 BAF BCRG1	Homo sapiens (Human)	89
O75533	O75533	SF3B1_HUMAN	reviewed	Splicing factor 3B subunit 1 (Pre-mRNA-splicing factor SF3b 155 kDa subunit) (SF3b155) (Spliceosome-associated protein 155) (SAP 155)	SF3B1 SAP155	Homo sapiens (Human)	1304
O75534	O75534	CSDE1_HUMAN	reviewed	Cold shock domain-containing protein E1 (N-ras upstream gene protein) (Protein UNR)	CSDE1 D1S155E KIAA0885 NRU UNR	Homo sapiens (Human)	798
O75569	O75569	PRKRA_HUMAN	reviewed	Interferon-inducible double-stranded RNA-dependent protein kinase activator A (PKR-associated protein X) (PKR-associating protein X) (Protein activator of the interferon-induced protein kinase) (Protein kinase, interferon-inducible double-stranded RNA-dependent activator)	PRKRA PACT RAX HSD-14 HSD14	Homo sapiens (Human)	313
O75592	O75592	MYCB2_HUMAN	reviewed	E3 ubiquitin-protein ligase MYCBP2 (EC 2.3.2.-) (Myc-binding protein 2) (Protein associated with Myc)	MYCBP2 KIAA0916 PAM	Homo sapiens (Human)	4678
O75594	O75594	PGRP1_HUMAN	reviewed	Peptidoglycan recognition protein 1 (Peptidoglycan recognition protein short) (PGRP-S)	PGLYRP1 PGLYRP PGRP TNFSF3L SBBI68 UNQ639/PRO1269	Homo sapiens (Human)	196
O75610	O75610	LFTY1_HUMAN	reviewed	Left-right determination factor 1 (Left-right determination factor B) (Protein lefty-1) (Protein lefty-B)	LEFTY1 LEFTB LEFTYB UNQ278/PRO317	Homo sapiens (Human)	366
O75635	O75635	SPB7_HUMAN	reviewed	Serpin B7 (Megsin) (TP55)	SERPINB7	Homo sapiens (Human)	380
O75636	O75636	FCN3_HUMAN	reviewed	Ficolin-3 (Collagen/fibrinogen domain-containing lectin 3 p35) (Collagen/fibrinogen domain-containing protein 3) (Hakata antigen)	FCN3 FCNH HAKA1	Homo sapiens (Human)	299
O75643	O75643	U520_HUMAN	reviewed	U5 small nuclear ribonucleoprotein 200 kDa helicase (EC 3.6.4.13) (Activating signal cointegrator 1 complex subunit 3-like 1) (BRR2 homolog) (U5 snRNP-specific 200 kDa protein) (U5-200KD)	SNRNP200 ASCC3L1 HELIC2 KIAA0788	Homo sapiens (Human)	2136
O75694	O75694	NU155_HUMAN	reviewed	Nuclear pore complex protein Nup155 (155 kDa nucleoporin) (Nucleoporin Nup155)	NUP155 KIAA0791	Homo sapiens (Human)	1391
O75792	O75792	RNH2A_HUMAN	reviewed	Ribonuclease H2 subunit A (RNase H2 subunit A) (EC 3.1.26.4) (Aicardi-Goutieres syndrome 4 protein) (AGS4) (RNase H(35)) (Ribonuclease HI large subunit) (RNase HI large subunit) (Ribonuclease HI subunit A)	RNASEH2A RNASEHI RNHIA	Homo sapiens (Human)	299
P54855	P54855	UDB15_HUMAN	reviewed	UDP-glucuronosyltransferase 2B15 (UDPGT 2B15) (EC 2.4.1.17) (HLUG4) (UDP-glucuronosyltransferase 2B8) (UDPGT 2B8) (UDPGTh-3)	UGT2B15 UGT2B8	Homo sapiens (Human)	530
O75820	O75820	ZN189_HUMAN	reviewed	Zinc finger protein 189	ZNF189	Homo sapiens (Human)	626
O75874	O75874	IDHC_HUMAN	reviewed	Isocitrate dehydrogenase [NADP] cytoplasmic (IDH) (EC 1.1.1.42) (Cytosolic NADP-isocitrate dehydrogenase) (IDP) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)	IDH1 PICD	Homo sapiens (Human)	414
O75891	O75891	AL1L1_HUMAN	reviewed	Cytosolic 10-formyltetrahydrofolate dehydrogenase (10-FTHFDH) (FDH) (EC 1.5.1.6) (Aldehyde dehydrogenase family 1 member L1)	ALDH1L1 FTHFD	Homo sapiens (Human)	902
O75955	O75955	FLOT1_HUMAN	reviewed	Flotillin-1	FLOT1	Homo sapiens (Human)	427
O76021	O76021	RL1D1_HUMAN	reviewed	Ribosomal L1 domain-containing protein 1 (CATX-11) (Cellular senescence-inhibited gene protein) (Protein PBK1)	RSL1D1 CATX11 CSIG PBK1 L12	Homo sapiens (Human)	490
O76024	O76024	WFS1_HUMAN	reviewed	Wolframin	WFS1	Homo sapiens (Human)	890
O76062	O76062	ERG24_HUMAN	reviewed	Delta(14)-sterol reductase (Delta-14-SR) (EC 1.3.1.70) (3-beta-hydroxysterol Delta (14)-reductase) (Another new gene 1 protein) (C-14 sterol reductase) (C14SR) (Putative sterol reductase SR-1) (Sterol C14-reductase) (Transmembrane 7 superfamily member 2)	TM7SF2 ANG1	Homo sapiens (Human)	418
O94769	O94769	ECM2_HUMAN	reviewed	Extracellular matrix protein 2 (Matrix glycoprotein SC1/ECM2)	ECM2	Homo sapiens (Human)	699
O94812	O94812	BAIP3_HUMAN	reviewed	BAI1-associated protein 3 (BAP3) (Brain-specific angiogenesis inhibitor I-associated protein 3)	BAIAP3 KIAA0734	Homo sapiens (Human)	1187
O94832	O94832	MYO1D_HUMAN	reviewed	Unconventional myosin-Id	MYO1D KIAA0727	Homo sapiens (Human)	1006
O94855	O94855	SC24D_HUMAN	reviewed	Protein transport protein Sec24D (SEC24-related protein D)	SEC24D KIAA0755	Homo sapiens (Human)	1032
O94875	O94875	SRBS2_HUMAN	reviewed	Sorbin and SH3 domain-containing protein 2 (Arg-binding protein 2) (ArgBP2) (Arg/Abl-interacting protein 2) (Sorbin)	SORBS2 ARGBP2 KIAA0777	Homo sapiens (Human)	1100
O94887	O94887	FARP2_HUMAN	reviewed	FERM, ARHGEF and pleckstrin domain-containing protein 2 (FERM domain-including RhoGEF) (FIR) (FERM, RhoGEF and pleckstrin domain-containing protein 2) (Pleckstrin homology domain-containing family C member 3) (PH domain-containing family C member 3)	FARP2 KIAA0793 PLEKHC3	Homo sapiens (Human)	1054
O94901	O94901	SUN1_HUMAN	reviewed	SUN domain-containing protein 1 (Protein unc-84 homolog A) (Sad1/unc-84 protein-like 1)	SUN1 KIAA0810 UNC84A	Homo sapiens (Human)	812
O94905	O94905	ERLN2_HUMAN	reviewed	Erlin-2 (Endoplasmic reticulum lipid raft-associated protein 2) (Stomatin-prohibitin-flotillin-HflC/K domain-containing protein 2) (SPFH domain-containing protein 2)	ERLIN2 C8orf2 SPFH2 UNQ2441/PRO5003/PRO9924	Homo sapiens (Human)	339
O94906	O94906	PRP6_HUMAN	reviewed	Pre-mRNA-processing factor 6 (Androgen receptor N-terminal domain-transactivating protein 1) (ANT-1) (PRP6 homolog) (U5 snRNP-associated 102 kDa protein) (U5-102 kDa protein)	PRPF6 C20orf14	Homo sapiens (Human)	941
O94929	O94929	ABLM3_HUMAN	reviewed	Actin-binding LIM protein 3 (abLIM-3) (Actin-binding LIM protein family member 3)	ABLIM3 KIAA0843 HMFN1661	Homo sapiens (Human)	683
O94973	O94973	AP2A2_HUMAN	reviewed	AP-2 complex subunit alpha-2 (100 kDa coated vesicle protein C) (Adaptor protein complex AP-2 subunit alpha-2) (Adaptor-related protein complex 2 subunit alpha-2) (Alpha-adaptin C) (Alpha2-adaptin) (Clathrin assembly protein complex 2 alpha-C large chain) (Huntingtin yeast partner J) (Huntingtin-interacting protein 9) (HIP-9) (Huntingtin-interacting protein J) (Plasma membrane adaptor HA2/AP2 adaptin alpha C subunit)	AP2A2 ADTAB CLAPA2 HIP9 HYPJ KIAA0899	Homo sapiens (Human)	939
O94979	O94979	SC31A_HUMAN	reviewed	Protein transport protein Sec31A (ABP125) (ABP130) (SEC31-like protein 1) (SEC31-related protein A) (Web1-like protein)	SEC31A KIAA0905 SEC31L1 HSPC275 HSPC334	Homo sapiens (Human)	1220
O95154	O95154	ARK73_HUMAN	reviewed	Aflatoxin B1 aldehyde reductase member 3 (EC 1.-.-.-) (AFB1 aldehyde reductase 2) (AFB1-AR 2)	AKR7A3 AFAR2	Homo sapiens (Human)	331
O95218	O95218	ZRAB2_HUMAN	reviewed	Zinc finger Ran-binding domain-containing protein 2 (Zinc finger protein 265) (Zinc finger, splicing)	ZRANB2 ZIS ZNF265	Homo sapiens (Human)	330
O95232	O95232	LC7L3_HUMAN	reviewed	Luc7-like protein 3 (Cisplatin resistance-associated-overexpressed protein) (Luc7A) (Okadaic acid-inducible phosphoprotein OA48-18) (cAMP regulatory element-associated protein 1) (CRE-associated protein 1) (CREAP-1)	LUC7L3 CREAP1 CROP O48	Homo sapiens (Human)	432
O95255	O95255	MRP6_HUMAN	reviewed	Multidrug resistance-associated protein 6 (ATP-binding cassette sub-family C member 6) (Anthracycline resistance-associated protein) (Multi-specific organic anion transporter E) (MOAT-E)	ABCC6 ARA MRP6	Homo sapiens (Human)	1503
O95340	O95340	PAPS2_HUMAN	reviewed	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2 (PAPS synthase 2) (PAPSS 2) (Sulfurylase kinase 2) (SK 2) (SK2) [Includes: Sulfate adenylyltransferase (EC 2.7.7.4) (ATP-sulfurylase) (Sulfate adenylate transferase) (SAT); Adenylyl-sulfate kinase (EC 2.7.1.25) (3'-phosphoadenosine-5'-phosphosulfate synthase) (APS kinase) (Adenosine-5'-phosphosulfate 3'-phosphotransferase) (Adenylylsulfate 3'-phosphotransferase)]	PAPSS2 ATPSK2	Homo sapiens (Human)	614
O95373	O95373	IPO7_HUMAN	reviewed	Importin-7 (Imp7) (Ran-binding protein 7) (RanBP7)	IPO7 RANBP7	Homo sapiens (Human)	1038
O95425	O95425	SVIL_HUMAN	reviewed	Supervillin (Archvillin) (p205/p250)	SVIL	Homo sapiens (Human)	2214
O95478	O95478	NSA2_HUMAN	reviewed	Ribosome biogenesis protein NSA2 homolog (Hairy cell leukemia protein 1) (TGF-beta-inducible nuclear protein 1)	NSA2 TINP1 HUSSY-29	Homo sapiens (Human)	260
O95479	O95479	G6PE_HUMAN	reviewed	GDH/6PGL endoplasmic bifunctional protein [Includes: Glucose 1-dehydrogenase (EC 1.1.1.47) (Glucose-6-phosphate dehydrogenase) (EC 1.1.1.363); 6-phosphogluconolactonase (6PGL) (EC 3.1.1.31)]	H6PD GDH	Homo sapiens (Human)	791
O95486	O95486	SC24A_HUMAN	reviewed	Protein transport protein Sec24A (SEC24-related protein A)	SEC24A	Homo sapiens (Human)	1093
O95498	O95498	VNN2_HUMAN	reviewed	Vascular non-inflammatory molecule 2 (Vanin-2) (EC 3.5.1.92) (Glycosylphosphatidyl inositol-anchored protein GPI-80) (Protein FOAP-4)	VNN2	Homo sapiens (Human)	520
O95571	O95571	ETHE1_HUMAN	reviewed	Persulfide dioxygenase ETHE1, mitochondrial (EC 1.13.11.18) (Ethylmalonic encephalopathy protein 1) (Hepatoma subtracted clone one protein) (Sulfur dioxygenase ETHE1)	ETHE1 HSCO	Homo sapiens (Human)	254
O95573	O95573	ACSL3_HUMAN	reviewed	Long-chain-fatty-acid--CoA ligase 3 (EC 6.2.1.3) (Long-chain acyl-CoA synthetase 3) (LACS 3)	ACSL3 ACS3 FACL3 LACS3	Homo sapiens (Human)	720
O95613	O95613	PCNT_HUMAN	reviewed	Pericentrin (Kendrin) (Pericentrin-B)	PCNT KIAA0402 PCNT2	Homo sapiens (Human)	3336
O95782	O95782	AP2A1_HUMAN	reviewed	AP-2 complex subunit alpha-1 (100 kDa coated vesicle protein A) (Adaptor protein complex AP-2 subunit alpha-1) (Adaptor-related protein complex 2 subunit alpha-1) (Alpha-adaptin A) (Alpha1-adaptin) (Clathrin assembly protein complex 2 alpha-A large chain) (Plasma membrane adaptor HA2/AP2 adaptin alpha A subunit)	AP2A1 ADTAA CLAPA1	Homo sapiens (Human)	977
O95785	O95785	WIZ_HUMAN	reviewed	Protein Wiz (Widely-interspaced zinc finger-containing protein) (Zinc finger protein 803)	WIZ ZNF803	Homo sapiens (Human)	1651
O95786	O95786	DDX58_HUMAN	reviewed	Probable ATP-dependent RNA helicase DDX58 (EC 3.6.4.13) (DEAD box protein 58) (RIG-I-like receptor 1) (RLR-1) (Retinoic acid-inducible gene 1 protein) (RIG-1) (Retinoic acid-inducible gene I protein) (RIG-I)	DDX58	Homo sapiens (Human)	925
O95817	O95817	BAG3_HUMAN	reviewed	BAG family molecular chaperone regulator 3 (BAG-3) (Bcl-2-associated athanogene 3) (Bcl-2-binding protein Bis) (Docking protein CAIR-1)	BAG3 BIS	Homo sapiens (Human)	575
O95831	O95831	AIFM1_HUMAN	reviewed	Apoptosis-inducing factor 1, mitochondrial (EC 1.1.1.-) (Programmed cell death protein 8)	AIFM1 AIF PDCD8	Homo sapiens (Human)	613
O95832	O95832	CLD1_HUMAN	reviewed	Claudin-1 (Senescence-associated epithelial membrane protein)	CLDN1 CLD1 SEMP1 UNQ481/PRO944	Homo sapiens (Human)	211
O95834	O95834	EMAL2_HUMAN	reviewed	Echinoderm microtubule-associated protein-like 2 (EMAP-2) (HuEMAP-2)	EML2 EMAP2 EMAPL2	Homo sapiens (Human)	649
O95954	O95954	FTCD_HUMAN	reviewed	Formimidoyltransferase-cyclodeaminase (Formiminotransferase-cyclodeaminase) (FTCD) (LCHC1) [Includes: Glutamate formimidoyltransferase (EC 2.1.2.5) (Glutamate formiminotransferase) (Glutamate formyltransferase); Formimidoyltetrahydrofolate cyclodeaminase (EC 4.3.1.4) (Formiminotetrahydrofolate cyclodeaminase)]	FTCD	Homo sapiens (Human)	541
O95967	O95967	FBLN4_HUMAN	reviewed	EGF-containing fibulin-like extracellular matrix protein 2 (Fibulin-4) (FIBL-4) (Protein UPH1)	EFEMP2 FBLN4 UNQ200/PRO226	Homo sapiens (Human)	443
O95994	O95994	AGR2_HUMAN	reviewed	Anterior gradient protein 2 homolog (AG-2) (hAG-2) (HPC8) (Secreted cement gland protein XAG-2 homolog)	AGR2 AG2 UNQ515/PRO1030	Homo sapiens (Human)	175
O96008	O96008	TOM40_HUMAN	reviewed	Mitochondrial import receptor subunit TOM40 homolog (Protein Haymaker) (Translocase of outer membrane 40 kDa subunit homolog) (p38.5)	TOMM40 C19orf1 PEREC1 TOM40	Homo sapiens (Human)	361
O96019	O96019	ACL6A_HUMAN	reviewed	Actin-like protein 6A (53 kDa BRG1-associated factor A) (Actin-related protein Baf53a) (ArpNbeta) (BRG1-associated factor 53A) (BAF53A) (INO80 complex subunit K)	ACTL6A BAF53 BAF53A INO80K	Homo sapiens (Human)	429
